q1_bar_score,q2_bar_score,q3_bar_score,q4_bar_score,q5_bar_score,q6_bar_score,q7_bar_score,q8_bar_score,q9_bar_score,q10_bar_score,q1_map_score,q2_map_score,q3_map_score,q4_map_score,q5_map_score,q6_map_score,q7_map_score,q8_map_score,q9_map_score,q10_map_score,q1_bar_time,q2_bar_time,q3_bar_time,q4_bar_time,q5_bar_time,q6_bar_time,q7_bar_time,q8_bar_time,q9_bar_time,q10_bar_time,q1_map_time,q2_map_time,q3_map_time,q4_map_time,q5_map_time,q6_map_time,q7_map_time,q8_map_time,q9_map_time,q10_map_time
1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,23.976991891860962,14.983973741531372,12.872621059417725,11.963146924972534,31.70422601699829,37.08020782470703,38.61883091926575,25.229767084121704,12.340233087539673,17.728137969970703,29.12379479408264,14.383710384368896,18.349509954452515,14.251884937286377,234.02888917922974,128.576238155365,97.96119618415833,142.60701966285706,20.318773984909058,14.109559059143066
0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,15.045183181762695,7.237478971481323,12.416334867477417,6.511781215667725,9.800673723220825,28.495277881622314,19.27562189102173,15.873386859893799,5.988439083099365,7.618790149688721,16.273552179336548,7.585080146789551,11.561261892318726,10.174152851104736,32.0464551448822,31.997570037841797,43.30276393890381,15.200494050979614,11.735429286956787,11.052770137786865
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,43.185226917266846,9.787390947341919,31.327849864959717,9.991400957107544,26.56960105895996,54.38368082046509,28.19640874862671,24.54217290878296,14.961596965789795,21.873669147491455,35.836801052093506,37.54462122917175,15.08148193359375,52.39313793182373,28.176353931427002,139.1900839805603,105.49214506149292,52.28461194038391,26.247953176498413,25.319199085235596
1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,19.712275981903076,10.772094964981079,30.954875946044922,14.935921907424927,42.91438388824463,20.931395769119263,29.155006885528564,22.176674127578735,12.411957025527954,11.543453931808472,13.692140102386475,15.23536491394043,22.987241983413696,14.510000228881836,38.80160713195801,46.03223919868469,46.22075390815735,35.002002239227295,17.20035719871521,24.901854276657104
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,19.226322889328003,15.614980936050415,13.953239917755127,17.56959104537964,17.468085050582886,16.973883867263794,22.19539213180542,67.86730909347534,11.95882511138916,7.330787181854248,9.477124691009521,12.277479887008667,10.385326862335205,7.305500745773315,25.70160675048828,20.76097798347473,39.383572816848755,13.038641929626465,9.33750033378601,14.405512809753418
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,18.20008087,11.5794487,23.54200459,11.61773229,11.35580587,16.32924652,24.23881602,23.60086226,26.66768193,9.292974949,15.96199393,19.07784295,31.19965267,24.96580338,13.09283638,19.64984441,79.96374249,29.4896121,12.60669661,35.7705121
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34.42053318,10.29522085,35.27552843,14.7427063,56.81031466,104.7963409,59.44843292,50.21978879,15.71422815,15.21975732,20.1146636,16.19237852,20.74433351,23.85359859,49.6874485,136.7808092,112.9267592,43.81155801,28.43110824,27.00847077
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,13.331032276153564,9.209048986434937,51.780444383621216,10.625842332839966,16.540138721466064,19.289493322372437,19.8842990398407,25.104900598526,29.107191562652588,13.679280042648315,9.674342632293701,16.40753674507141,12.927459716796875,8.412797212600708,15.995668411254883,19.809273958206177,22.991453647613525,23.319080114364624,17.089605808258057,8.72909927368164
0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,13.46781611442566,17.72458839416504,20.158096313476562,9.196275234222412,34.2698073387146,17.384480953216553,18.40164303779602,19.136308431625366,13.678097009658813,9.364908456802368,24.443626642227173,14.605284690856934,17.243091821670532,8.117871284484863,14.757357358932495,14.211867094039917,20.7124445438385,42.758281230926514,9.831855297088623,12.984386444091797
0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,18.40565776824951,8.226561069488525,14.248615264892578,12.391242265701294,21.651866912841797,24.846115350723267,23.46942925453186,40.913323640823364,9.36258602142334,11.373199462890625,13.906946897506714,12.89583706855774,11.52704119682312,18.142314434051514,22.168163537979126,25.987183570861816,35.360074520111084,22.279792070388794,13.734068393707275,11.729685544967651
